,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
200,2015,Toyota,Toyota Camry Hybrid,Camry,1651000.0000000002,81000.0,Petrol,Pune
201,2017,Volvo,Volvo S90 Inscription D4 [2016-2020],S90,3800000.0,50000.0,Diesel,Pune
202,2013,Tata,Tata Nano LX,Nano,140000.0,10000.0,Petrol,Pune
203,2011,Tata,Tata Nano LX,Nano,95000.0,48405.0,Petrol,Pune
204,2009,Maruti Suzuki,Maruti Suzuki Wagon R VXi Minor,Wagon,250000.0,52080.0,Petrol,Pune
205,2018,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi Plus Dual Tone AGS,Vitara,915000.0,62665.0,Diesel,Pune
206,2017,Tata,Tata Hexa XTA 4x2 6 STR,Hexa,1330000.0,49558.0,Diesel,Pune
207,2009,Maruti Suzuki,Maruti Suzuki Alto LXi BS-III,Alto,185000.0,31632.0,Petrol,Pune
208,2013,Maruti Suzuki,Maruti Suzuki Alto K10 VXi,Alto,260000.0,61923.0,Petrol,Pune
209,2016,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,520000.0,49899.0,Petrol,Pune
210,2014,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT,Celerio,385000.0,49606.0,Petrol,Pune
211,2014,Volkswagen,Volkswagen Jetta Comfortline TDI,Jetta,680000.0,57770.0,Diesel,Pune
212,2007,Mercedes-Benz,Mercedes-Benz S-Class 320 CDI,S-Class,1290000.0,68500.0,Diesel,Pune
213,2016,Hyundai,Hyundai Creta 1.6 SX Plus,Creta,1050000.0,75106.0,Diesel,Pune
214,2018,Jaguar,Jaguar F-Pace Prestige,F-Pace,4350000.0,55200.0,Diesel,Pune
215,2015,MINI,MINI Countryman Cooper D,Countryman,2300000.0,40614.0,Diesel,Pune
216,2019,Maruti Suzuki,Maruti Suzuki Swift ZXi,Swift,710000.0,12500.0,Petrol,Pune
217,2015,Ford,Ford EcoSport Titanium 1.5L Ti-VCT AT,EcoSport,700000.0,51985.0,Petrol,Pune
218,2019,Maruti Suzuki,Maruti Suzuki Ertiga VXi,Ertiga,950000.0,60878.0,Petrol + 1,Pune
219,2011,Volkswagen,Volkswagen Vento Highline Petrol AT,Vento,320000.0,63000.0,Petrol,Pune
220,2014,Volkswagen,Volkswagen Polo Highline1.2L (P),Polo,400000.0,67500.0,Petrol,Pune
221,2016,Honda,Honda City SV,City,635000.0,51000.0,Petrol,Pune
222,2016,Toyota,Toyota Etios Liva VXD,Etios,525000.0,102000.0,Diesel,Pune
223,2019,Hyundai,Hyundai Elite i20 Sportz 1.2 [2016-2017],Elite,750000.0,53347.0,Petrol,Pune
224,2019,Maruti Suzuki,Maruti Suzuki Ertiga VXi,Ertiga,950000.0,60878.0,Petrol + 1,Pune
225,2007,Mercedes-Benz,Mercedes-Benz S-Class 320 CDI,S-Class,1290000.0,68500.0,Diesel,Pune
226,2018,Hyundai,Hyundai Creta SX Plus 1.6 CRDI Dual Tone,Creta,1475000.0,42000.0,Diesel,Pune
227,2018,Jaguar,Jaguar F-Pace Prestige,F-Pace,4350000.0,55200.0,Diesel,Pune
228,2019,Maruti Suzuki,Maruti Suzuki Swift ZXi,Swift,710000.0,12500.0,Petrol,Pune
229,2018,Ford,Ford Endeavour Titanium 2.2 4x2 AT,Endeavour,3000000.0,27000.0,Diesel,Pune
230,2016,Maruti Suzuki,Maruti Suzuki Ciaz VXi (O),Ciaz,640000.0,28000.0,Petrol,Pune
231,2018,Hyundai,Hyundai Eon Era + SE,Eon,360000.0,33000.0,Petrol,Pune
232,2010,Maruti Suzuki,Maruti Suzuki Alto LXi BS-IV,Alto,165000.0,38000.0,Petrol,Pune
233,2017,Hyundai,Hyundai Creta S Plus 1.4 CRDI,Creta,999000.0,49000.0,Diesel,Pune
234,2014,Honda,Honda City 1.5 S MT,City,565000.0,24010.0,Petrol,Pune
235,2020,Hyundai,Hyundai Creta SX 1.5 Diesel,Creta,1725000.0,13000.0,Diesel,Pune
236,2014,Mahindra,Mahindra XUV500 W8 [2015-2017],XUV500,775000.0,90000.0,Diesel,Pune
237,2009,Maruti Suzuki,Maruti Suzuki Wagon R LXi Minor,Wagon,180000.0,55000.0,Petrol,Pune
238,2012,Toyota,Toyota Etios Liva GD,Etios,355000.0,55000.0,Diesel,Pune
239,2012,Maruti Suzuki,Maruti Suzuki Ertiga VDi,Ertiga,575000.0,56011.0,Diesel,Pune
240,2017,Honda,Honda City ZX CVT Petrol [2017-2019],City,960000.0,49000.0,Petrol,Pune
241,2021,Ford,Ford EcoSport Ambiente 1.5 TDCi,EcoSport,950000.0,3681.0,Diesel,Pune
242,2015,Hyundai,Hyundai Eon Era +,Eon,290000.0,38000.0,Petrol,Pune
243,2011,Bentley,Bentley Continental Flying Spur W12,Continental,7500000.0,36000.0,Petrol,Pune
244,2008,Mahindra-Renault,Mahindra-Renault Logan DLE 1.5 dci,Logan,185000.0,142522.0,Diesel,Pune
245,1990,Mahindra,Mahindra Jeep CJ 500 D,Jeep,325000.0,18581.0,Diesel,Pune
246,2017,Hyundai,Hyundai Creta SX Plus 1.6 AT CRDI,Creta,1395000.0,31028.0,Diesel,Pune
